row_name,doc_id,new_cluster
1,4,9
2,5,6
3,15,6
4,20,6
5,25,6
6,30,6
7,39,6
8,40,6
9,54,6
10,59,6
11,64,6
12,67,9
13,75,6
14,85,6
15,91,6
16,119,6
17,122,7
18,132,6
19,142,6
20,157,6
21,165,6
22,175,9
23,185,10
24,191,6
25,201,6
26,210,6
27,218,4
28,220,6
29,224,6
30,232,6
31,245,4
32,252,6
33,267,4
34,275,9
35,287,6
36,302,6
37,313,6
38,322,6
39,337,6
40,345,6
41,357,6
42,361,4
43,374,6
44,394,3
45,418,4
46,425,6
47,446,4
48,472,4
49,479,6
50,482,6
51,496,6
52,500,4
53,519,6
54,556,6
55,590,6
56,602,7
57,636,10
58,640,6
59,652,6
60,660,6
61,673,6
62,685,6
63,690,3
64,697,6
65,703,6
66,715,6
67,726,6
68,731,6
69,766,6
70,785,6
71,789,6
72,805,6
73,815,6
74,826,6
75,830,6
76,845,6
77,853,3
78,902,4
79,929,6
80,937,6
81,945,6
82,951,6
83,965,6
84,969,6
85,979,6
86,980,4
87,993,10
88,1011,6
89,1033,3
90,1039,4
91,1040,6
92,1069,4
93,1071,6
94,1088,6
95,1091,6
96,1105,6
97,1107,3
98,1116,6
99,1125,6
100,1164,6
101,1171,6
102,1176,6
103,1185,6
104,1201,4
105,1208,6
106,1212,6
107,1217,6
108,1228,4
109,1239,10
110,1246,6
111,1268,6
112,1272,6
113,1280,6
114,1286,6
115,1295,6
116,1302,6
117,1314,6
118,1316,6
119,1317,3
120,1321,6
121,1322,7
122,1324,2
123,1334,4
124,1350,6
125,1355,6
126,1367,6
127,1379,6
128,1384,6
129,1403,6
130,1410,6
131,1417,6
132,1439,6
133,1448,6
134,1461,6
135,1466,6
136,1470,6
137,1474,6
138,1486,6
139,1492,6
140,1495,10
141,1508,6
142,1520,6
143,1533,6
144,1539,3
145,1545,6
146,1568,6
147,1597,6
148,1601,6
149,1624,7
150,1625,6
151,1652,6
152,1662,10
153,1671,6
154,1698,6
155,1710,10
156,1727,6
157,1769,6
158,1789,4
159,1809,4
160,1819,4
161,1850,6
162,1900,6
163,1943,6
164,1946,6
165,1949,10
166,1955,6
167,1970,4
168,1981,4
169,2046,6
170,2078,6
171,2084,6
172,2095,4
173,2103,10
174,2121,6
175,2139,6
176,2144,6
177,2152,10
178,2157,10
179,2162,4
180,2173,6
181,2191,6
182,2211,6
183,2235,6
184,2238,6
185,2246,10
186,2269,6
187,2272,6
188,2299,6
189,2301,6
190,2334,6
191,2338,6
192,2344,9
193,2386,4
194,2396,3
195,2425,3
196,2436,6
197,2447,6
198,2483,6
199,2486,6
200,2493,6
201,2501,10
202,2506,4
203,2519,6
204,2523,6
205,2528,3
206,2550,6
207,2567,10
208,2585,6
209,2608,6
210,2618,6
211,2626,6
212,2669,6
213,2701,6
214,2713,6
215,2725,4
216,2737,1
217,2741,7
218,2790,6
219,2797,6
220,2859,6
221,2871,10
222,2908,6
223,2921,6
224,2937,6
225,2944,3
226,2963,3
227,2967,6
228,2979,6
229,2983,6
230,2987,6
231,3031,6
232,3067,6
233,3077,3
234,3093,6
235,3130,6
236,3134,4
237,3161,6
238,3165,3
239,3175,6
240,3181,3
241,3192,6
242,3195,6
243,3211,6
244,3216,6
245,3232,3
246,3250,6
247,3252,6
248,3271,6
249,3300,6
250,3308,6
251,3317,6
252,3320,6
253,3323,6
254,3328,6
255,3333,3
256,3336,6
257,3347,6
258,3356,6
259,3363,6
